task_id,persona,primary_dimension,secondary_dimension,hotel_id,hotel_name,n_respondents,n_shown,n_chosen,share,share_pct,rank_in_group,mean_neg_log_position,spatial,accessibility,facility,economic,disruption,price_lkr,rating,star,distance_km
t4,Family on holiday,facility,spatial,lp43673,Pegasus Reef - A Beach Resort in Colombo,225,225,0,0.0,0.0,23,-3.3609,0.0,0.0,0.5859,0.781,0.95,20121,4.0,4,8.1
t4,Family on holiday,facility,spatial,lpc0df6,Fern Colombo,225,225,0,0.0,0.0,22,-2.924,0.375,0.375,0.1422,0.844,0.75,16245,4.0,3,1.8
t4,Family on holiday,facility,spatial,lp6574b103,"Amari Colombo, Sri Lanka",225,224,0,0.0,0.0,21,-2.7004,0.531,0.531,0.8687,0.219,0.4,42203,4.5,5,2.2
t4,Family on holiday,facility,spatial,lp81760,The Steuart by Citrus,225,225,0,0.0,0.0,32,-3.2987,0.094,0.188,0.4266,0.625,0.5,22604,4.2,4,2.2
t4,Family on holiday,facility,spatial,lp67286,Colombo Court Hotel & Spa,225,224,22,0.098214,9.82,3,-1.6,0.875,0.781,0.5938,0.094,0.725,52144,4.5,4,3.3
t4,Family on holiday,facility,spatial,lpc08f9,Morven Hotel Colombo,225,225,0,0.0,0.0,18,-2.7503,0.469,0.469,0.6703,0.688,0.2,21054,4.5,4,2.1
t4,Family on holiday,facility,spatial,lp857b8,Zylan Colombo,225,224,0,0.0,0.0,17,-2.9695,0.344,0.312,0.6047,0.438,0.8,34557,4.5,4,2.0
t4,Family on holiday,facility,spatial,lp72a36,Best Western Elyon Colombo,225,225,0,0.0,0.0,16,-2.5748,0.656,0.5,0.5687,0.812,0.875,19568,4.2,4,5.1
t4,Family on holiday,facility,spatial,lp800a1,Nyne Hotels Lake Lodge - Colombo,225,224,0,0.0,0.0,15,-2.771,0.438,0.438,0.5094,0.25,0.2,39335,4.6,4,1.5
t4,Family on holiday,facility,spatial,lp656d40c7,Sheraton Colombo Hotel,225,224,14,0.0625,6.25,5,-2.3147,0.625,0.656,0.7312,0.062,0.4,56627,4.7,5,2.2
t4,Family on holiday,facility,spatial,lp40d3f,Global Towers Hotel & Apartments,225,225,0,0.0,0.0,13,-1.9595,0.844,0.844,0.5375,0.875,0.725,16041,3.5,4,5.6
t4,Family on holiday,facility,spatial,lp5f0e5,Paradise Road Tintagel Colombo,225,224,3,0.013393,1.34,8,-2.8881,0.406,0.406,0.8687,0.0,0.85,96633,4.5,5,1.7
t4,Family on holiday,facility,spatial,lp6e625,Hotel Janaki,225,225,2,0.008889,0.89,9,-2.2032,0.781,0.719,0.2188,0.906,0.825,15319,4.0,3,4.2
t4,Family on holiday,facility,spatial,lp76eba,Radisson Hotel Colombo,225,225,78,0.346667,34.67,1,-0.568,0.969,0.969,0.4703,0.562,0.8,27402,4.2,4,5.0
t4,Family on holiday,facility,spatial,lp65589ffb,MaRadha Colombo,225,224,77,0.34375,34.38,2,-0.7605,0.938,0.938,0.325,0.406,0.675,35408,4.8,3,3.6
t4,Family on holiday,facility,spatial,lp6f007,Clock Inn Colombo,225,225,16,0.071111,7.11,4,-1.5567,0.906,0.812,0.0563,0.938,0.625,13715,3.8,2,3.4
t5,Light sleeper,disruption,economic,lp102b02,Marino Beach Colombo,225,225,0,0.0,0.0,32,-2.4123,0.594,0.594,0.9047,0.469,0.625,30177,4.6,5,3.2
t5,Light sleeper,disruption,economic,lp6557c6e0,Granbell Hotel Colombo,225,225,0,0.0,0.0,11,-2.7741,0.406,0.406,0.5422,0.5,0.35,28807,4.6,4,2.3
t5,Light sleeper,disruption,economic,lp741c5,Cinnamon Red Colombo,225,225,0,0.0,0.0,14,-2.6994,0.531,0.5,0.6266,0.375,0.35,36530,4.5,4,1.9
t5,Light sleeper,disruption,economic,lp9855f,Fairway Colombo - Sri Lanka's First Hotel With Robot Technology,225,225,0,0.0,0.0,16,-3.2471,0.094,0.062,0.525,0.531,0.5,28429,4.2,4,2.1
t5,Light sleeper,disruption,economic,lp655a9e91,Zest Metropole,225,225,0,0.0,0.0,24,-3.2339,0.125,0.125,0.5375,0.656,0.5,21223,4.3,4,2.0
t5,Light sleeper,disruption,economic,lp656d3aa9,Sofia Colombo City Hotel,225,225,0,0.0,0.0,29,-2.6904,0.562,0.531,0.5922,0.594,0.35,23620,4.3,4,2.4
t5,Light sleeper,disruption,economic,lp803e1,Galle Face Hotel,225,225,0,0.0,0.0,31,-3.0575,0.281,0.281,0.8141,0.281,0.4,38531,4.5,5,1.8
t5,Light sleeper,disruption,economic,lpb1537,Shangri-La Colombo,225,225,7,0.031111,3.11,6,-2.9054,0.219,0.219,0.9281,0.031,0.4,68781,4.7,5,1.9
t5,Light sleeper,disruption,economic,lp3e58e,The Kingsbury Colombo,225,225,0,0.0,0.0,9,-3.3023,0.062,0.156,0.8766,0.312,0.55,37025,4.2,5,2.2
t5,Light sleeper,disruption,economic,lp30277,Hilton Colombo Residence,225,225,0,0.0,0.0,30,-3.0437,0.312,0.312,0.9062,0.188,0.55,43133,4.4,5,0.9
t5,Light sleeper,disruption,economic,lp67708,Supun Arcade Residency,225,225,37,0.164444,16.44,3,-1.4885,0.906,0.875,0.4906,0.719,0.725,20768,3.8,4,5.7
t5,Light sleeper,disruption,economic,lp7c172,Mirage Colombo,225,225,0,0.0,0.0,28,-1.7182,0.875,0.906,0.6328,0.75,0.8,20482,3.8,4,6.3
t5,Light sleeper,disruption,economic,lp33ddb,"Taj Samudra, Colombo",225,225,0,0.0,0.0,27,-3.1046,0.25,0.25,0.9016,0.156,0.55,43993,4.5,5,1.7
t5,Light sleeper,disruption,economic,lpa0a8a,NH Collection Colombo,225,225,0,0.0,0.0,26,-2.5982,0.438,0.562,0.9594,0.344,0.325,36981,4.6,5,2.0
t5,Light sleeper,disruption,economic,lp1bc0d,Hilton Colombo Hotel,225,225,0,0.0,0.0,25,-3.2784,0.188,0.031,0.8547,0.125,0.475,47767,4.2,5,1.9
t5,Light sleeper,disruption,economic,lp71118,CityRest Fort,225,225,4,0.017778,1.78,7,-3.2295,0.156,0.094,0.1922,0.969,0.45,11502,3.5,3,2.0
